iter	Passed	Remaining
294	4091	1456
295	4104	1442
296	4116	1427
297	4128	1413
298	4140	1398
299	4154	1384
300	4167	1370
301	4180	1356
302	4194	1342
303	4209	1329
304	4223	1315
305	4236	1301
306	4250	1287
307	4265	1273
308	4278	1260
309	4291	1245
310	4304	1231
311	4317	1217
312	4329	1203
313	4341	1189
314	4354	1175
315	4366	1160
316	4379	1146
317	4392	1132
318	4405	1118
319	4419	1104
320	4431	1090
321	4445	1076
322	4458	1062
323	4470	1048
324	4483	1034
325	4496	1020
326	4509	1006
327	4523	992
328	4536	978
329	4548	964
330	4561	950
331	4574	937
332	4588	923
333	4600	909
334	4613	895
335	4625	881
336	4638	867
337	4651	853
338	4663	839
339	4676	825
340	4689	811
341	4711	799
342	4725	785
343	4739	771
344	4753	757
345	4765	743
346	4778	729
347	4790	715
348	4802	701
349	4815	687
350	4828	674
351	4842	660
352	4854	646
353	4868	632
354	4880	618
355	4893	604
356	4906	590
357	4919	577
358	4932	563
359	4944	549
360	4958	535
361	4971	521
362	4983	507
363	5000	494
364	5015	480
365	5030	467
366	5043	453
367	5056	439
368	5069	425
369	5081	412
370	5095	398
371	5108	384
372	5125	370
373	5141	357
374	5161	344
375	5181	330
376	5197	317
377	5211	303
378	5225	289
379	5238	275
380	5252	261
381	5268	248
382	5282	234
383	5296	220
384	5312	206
385	5328	193
386	5345	179
387	5361	165
388	5373	151
389	5389	138
390	5403	124
391	5417	110
392	5432	96
393	5446	82
394	5460	69
395	5474	55
396	5489	41
397	5503	27
398	5516	13
399	5532	0
